lh.aparc.thickness	lh_bankssts_thickness	lh_caudalanteriorcingulate_thickness	lh_caudalmiddlefrontal_thickness	lh_cuneus_thickness	lh_entorhinal_thickness	lh_fusiform_thickness	lh_inferiorparietal_thickness	lh_inferiortemporal_thickness	lh_isthmuscingulate_thickness	lh_lateraloccipital_thickness	lh_lateralorbitofrontal_thickness	lh_lingual_thickness	lh_medialorbitofrontal_thickness	lh_middletemporal_thickness	lh_parahippocampal_thickness	lh_paracentral_thickness	lh_parsopercularis_thickness	lh_parsorbitalis_thickness	lh_parstriangularis_thickness	lh_pericalcarine_thickness	lh_postcentral_thickness	lh_posteriorcingulate_thickness	lh_precentral_thickness	lh_precuneus_thickness	lh_rostralanteriorcingulate_thickness	lh_rostralmiddlefrontal_thickness	lh_superiorfrontal_thickness	lh_superiorparietal_thickness	lh_superiortemporal_thickness	lh_supramarginal_thickness	lh_frontalpole_thickness	lh_temporalpole_thickness	lh_transversetemporal_thickness	lh_insula_thickness	lh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
sub-NDARAA306NT2/ses-HCP	2.82	2.569	2.746	1.691	3.506	2.782	2.609	2.818	2.519	2.204	2.728	1.946	2.43	2.963	2.76	2.442	2.637	2.647	2.337	1.607	1.999	2.759	2.521	2.356	3.027	2.321	2.905	2.086	3.102	2.617	2.362	3.742	2.182	2.816	2.52463	1554161.0	2062414.044955
sub-NDARAA948VFH/ses-HCP	3.461	3.198	3.155	2.247	3.811	3.307	3.234	3.287	2.875	2.589	3.19	2.513	2.761	3.644	3.546	3.4	3.228	3.374	3.053	1.894	2.682	3.152	3.252	3.235	3.325	2.922	3.651	2.969	3.862	3.539	3.359	3.962	3.39	3.514	3.14875	1935787.0	2452805.314442
sub-NDARAB055BPR/ses-HCP	2.647	2.967	2.811	1.767	2.625	3.005	2.689	3.027	2.443	2.058	2.7	2.069	2.684	2.912	3.028	2.585	2.777	2.567	2.833	1.726	2.037	2.98	2.747	2.602	2.648	2.592	3.083	2.326	2.862	2.907	2.873	3.579	2.293	3.213	2.6428	1522381.0	2096472.808826
sub-NDARAC462DZH/ses-HCP	2.531	2.101	2.611	1.911	2.522	2.41	2.587	2.533	2.509	2.19	2.595	2.269	2.693	2.918	2.465	2.875	2.688	2.595	2.551	1.919	2.332	2.16	2.616	2.492	2.436	2.551	2.883	2.327	2.58	2.532	2.353	3.086	2.113	2.723	2.52045	1842553.0	2402393.702409
sub-NDARAC495TJ2/ses-HCP	3.173	3.016	3.218	1.802	3.588	3.136	3.024	3.036	2.85	2.475	2.92	2.103	2.628	3.527	2.771	3.029	3.113	2.982	2.724	1.609	2.514	2.959	3.261	2.878	2.848	2.686	3.398	2.706	3.3	3.005	2.857	3.628	2.844	3.407	2.92956	1701506.0	2115471.332407
sub-NDARAC904DMU/ses-HCP	2.252	3.056	2.283	2.526	1.925	2.556	2.466	2.791	2.993	2.414	2.442	2.449	2.72	2.454	2.501	2.849	2.428	2.369	2.413	2.563	2.575	2.918	2.476	2.735	2.493	2.418	2.498	2.368	2.621	2.693	2.312	2.369	3.077	2.663	2.54321	1131536.0	2180717.751336
sub-NDARAD224CRB/ses-HCP	2.741	3.136	2.869	2.238	3.656	2.894	2.775	2.747	2.737	2.481	2.831	2.394	2.517	2.927	3.037	2.904	2.862	2.848	2.867	1.688	2.29	2.966	2.888	2.968	2.891	2.559	3.295	2.584	3.341	2.852	3.208	2.757	3.055	3.328	2.80456	2315529.0	2740294.831958
sub-NDARAD232HVV/ses-HCP	2.644	2.739	2.436	1.954	2.921	2.857	2.536	2.645	2.891	2.205	2.659	2.16	2.482	2.845	2.631	2.847	2.699	2.461	2.648	1.941	2.253	3.064	2.596	2.749	2.645	2.462	2.955	2.317	2.817	2.563	3.13	2.965	2.528	3.073	2.58428	1753751.0	2233945.782587
sub-NDARAD571FLB/ses-HCP	2.75	3.223	2.672	2.214	3.184	2.929	2.838	2.595	2.823	2.482	2.855	2.259	3.007	3.112	3.435	3.227	2.834	3.293	2.88	1.793	2.641	3.144	2.802	3.077	2.954	3.131	3.499	2.734	3.171	2.709	3.413	2.609	3.086	3.334	2.89098	1640084.0	2156008.208826
sub-NDARAE012DGA/ses-HCP	2.808	2.806	2.943	2.155	3.266	3.129	3.016	3.197	2.902	2.576	3.146	2.491	2.966	3.238	2.788	3.119	3.301	3.171	2.78	1.926	2.533	3.095	3.032	2.999	3.357	2.814	3.359	2.612	3.261	3.123	3.014	3.826	3.123	3.65	2.97038	1930623.0	2422026.017223
sub-NDARAE270LEZ/ses-HCP	2.706	2.638	2.955	1.744	3.168	2.981	2.84	3.204	2.353	2.218	2.919	1.982	2.523	3.413	2.799	2.605	2.951	3.07	2.827	1.568	2.088	2.791	2.657	2.814	2.873	2.521	3.316	2.494	3.166	2.864	2.847	3.58	2.352	3.073	2.7387	1506520.0	1837795.645385
sub-NDARAE358VBE/ses-HCP	2.761	3.149	2.824	2.293	3.589	2.906	2.688	2.803	2.913	2.458	2.747	2.218	2.344	3.118	3.182	2.991	3.022	2.922	2.737	2.02	2.287	2.869	2.782	2.85	3.739	2.579	3.059	2.547	3.112	2.865	2.99	3.588	2.789	3.103	2.74546	1845869.0	2368039.350744
sub-NDARAF440XWG/ses-HCP	2.692	2.618	2.651	2.591	2.402	2.749	2.663	2.76	2.745	2.482	2.857	2.537	2.401	2.925	2.797	2.943	2.813	2.896	2.2	2.266	2.454	2.739	2.604	2.719	2.255	2.486	2.744	2.432	2.886	2.7	2.65	2.888	3.138	3.155	2.66185	1867426.0	2594375.126491
sub-NDARAG340ERT/ses-HCP	3.233	3.053	3.382	2.306	4.144	3.293	3.128	3.489	2.692	2.549	3.176	2.321	2.698	3.498	2.896	3.246	3.406	3.279	3.149	1.631	2.501	3.188	3.22	3.125	3.087	2.849	3.52	2.834	3.681	3.2	3.186	4.401	3.787	3.722	3.09689	2107863.0	2575855.38558
sub-NDARAH304ED7/ses-HCP	3.018	3.03	3.215	2.112	3.824	3.156	3.145	3.267	2.732	2.559	2.999	2.361	2.73	3.568	3.533	3.492	3.228	3.417	3.037	1.809	2.788	3.219	3.415	3.017	3.377	2.921	3.555	2.853	3.378	3.349	2.85	3.775	2.904	3.387	3.09529	1964096.0	2415718.377158
sub-NDARAH503YG1/ses-HCP	3.283	2.751	3.041	2.609	3.615	3.193	3.251	3.024	2.974	2.74	3.02	2.629	2.98	3.612	3.514	3.189	2.864	2.787	2.941	2.062	2.814	3.014	2.946	3.094	2.938	2.669	3.246	2.967	3.332	3.257	2.836	3.599	3.436	3.544	3.03906	2339859.0	2748408.404149
sub-NDARAH948UF0/ses-HCP	3.031	3.463	3.03	2.095	3.645	3.238	3.094	3.284	2.906	2.503	3.069	2.419	2.61	3.376	3.246	3.048	3.064	3.043	2.917	1.769	2.339	3.018	3.244	2.935	3.115	2.629	3.212	2.633	3.483	3.194	2.813	4.109	2.788	3.362	2.9678	1737518.0	2228278.420709
sub-NDARAJ689BVN/ses-HCP	2.977	2.798	2.788	2.516	3.055	2.966	2.902	2.824	2.643	2.621	2.843	2.449	2.931	3.216	3.19	3.055	2.734	2.415	2.728	2.073	2.406	2.819	2.876	2.798	3.043	2.746	3.322	2.564	3.214	2.974	3.434	3.379	3.096	3.418	2.84712	1877236.0	2420095.235602
sub-NDARAK738BGC/ses-HCP	3.307	3.143	3.103	1.885	3.409	3.161	2.946	3.215	2.871	2.36	3.177	2.323	2.879	3.598	3.247	3.156	3.134	3.441	3.104	1.767	2.54	3.252	3.158	2.829	3.246	2.869	3.431	2.633	3.605	3.228	3.351	4.199	3.108	3.337	3.00214	1743934.0	2373502.066217
sub-NDARAM675UR8/ses-HCP	2.451	2.25	2.818	2.538	2.676	2.604	2.903	2.38	2.617	2.524	2.712	2.467	2.84	2.776	2.146	2.886	2.765	2.494	2.796	2.248	2.393	2.783	2.747	2.787	2.599	2.75	3.228	2.66	3.024	2.729	3.203	2.887	2.768	2.99	2.73441	2164353.0	2549061.804053
sub-NDARAM848GTE/ses-HCP	1.935	2.941	2.382	2.449	2.177	2.313	2.45	2.408	2.669	2.5	2.391	2.316	2.293	2.364	2.284	2.556	2.517	2.401	2.462	2.474	1.988	2.567	2.361	2.502	2.635	2.508	2.924	2.277	2.249	2.303	2.666	2.581	2.399	2.75	2.42782	1497641.0	2246065.814381
sub-NDARAN262WK6/ses-HCP	2.945	2.78	2.477	2.056	2.492	2.957	2.741	2.88	2.769	2.286	2.701	2.146	2.358	2.985	3.163	2.706	2.967	2.251	2.667	1.923	2.18	2.886	2.46	2.669	2.708	2.51	2.859	2.293	3.16	2.712	2.789	3.379	3.152	3.057	2.64843	1488092.0	2109604.949592
sub-NDARAN814UPR/ses-HCP	2.864	3.775	2.536	2.132	3.435	2.877	2.324	2.598	2.721	2.194	2.768	2.35	2.784	2.917	3.138	2.969	2.568	2.497	2.541	1.908	2.233	3.065	2.619	2.839	3.084	2.517	2.922	2.297	2.938	2.528	3.364	3.307	3.084	3.045	2.62675	2050832.0	2692981.252328
sub-NDARAP176AD1/ses-HCP	3.37	3.06	3.014	2.008	3.786	3.246	3.274	3.304	3.011	2.466	3.039	2.552	2.836	3.735	3.382	3.129	3.196	3.205	2.953	1.832	2.591	3.264	3.194	3.142	3.293	2.704	3.382	2.864	3.586	3.29	2.676	3.819	3.24	3.542	3.06996	1840399.0	2252030.650857
sub-NDARAP522AFK/ses-HCP	2.505	2.862	2.425	1.964	2.586	2.743	2.761	2.765	2.795	2.292	2.845	2.222	2.575	2.906	2.885	2.699	2.579	2.632	2.445	1.75	2.873	2.955	2.329	2.758	2.71	2.474	2.783	2.563	2.94	2.748	2.924	2.656	2.825	3.125	2.62792	1895990.0	2442577.336777
