lh.aparc.thickness	lh_bankssts_thickness	lh_caudalanteriorcingulate_thickness	lh_caudalmiddlefrontal_thickness	lh_cuneus_thickness	lh_entorhinal_thickness	lh_fusiform_thickness	lh_inferiorparietal_thickness	lh_inferiortemporal_thickness	lh_isthmuscingulate_thickness	lh_lateraloccipital_thickness	lh_lateralorbitofrontal_thickness	lh_lingual_thickness	lh_medialorbitofrontal_thickness	lh_middletemporal_thickness	lh_parahippocampal_thickness	lh_paracentral_thickness	lh_parsopercularis_thickness	lh_parsorbitalis_thickness	lh_parstriangularis_thickness	lh_pericalcarine_thickness	lh_postcentral_thickness	lh_posteriorcingulate_thickness	lh_precentral_thickness	lh_precuneus_thickness	lh_rostralanteriorcingulate_thickness	lh_rostralmiddlefrontal_thickness	lh_superiorfrontal_thickness	lh_superiorparietal_thickness	lh_superiortemporal_thickness	lh_supramarginal_thickness	lh_frontalpole_thickness	lh_temporalpole_thickness	lh_transversetemporal_thickness	lh_insula_thickness	lh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
sub-000103/ses-headmotion1	2.856	3.086	2.941	1.813	3.069	2.875	2.362	2.933	2.71	2.397	2.856	2.13	2.696	3.189	3.527	2.464	2.873	2.787	2.79	1.704	2.191	2.723	2.685	2.474	3.231	2.752	3.044	2.135	3.226	2.682	2.769	3.667	2.608	3.393	2.6922	1654099.0	2241145.223397
sub-000103/ses-headmotion2	2.874	2.697	2.718	1.943	2.657	2.666	2.386	2.788	2.58	2.429	2.597	2.103	2.545	3.0	3.237	2.556	2.557	2.625	2.495	1.653	1.966	2.688	2.815	2.504	3.095	2.509	2.874	2.102	2.934	2.415	2.741	2.993	2.498	3.307	2.57013	1622478.0	2235500.186582
sub-000103/ses-standard	2.984	2.891	2.899	1.854	3.133	2.807	2.557	3.037	2.688	2.444	2.962	2.135	2.711	3.284	3.578	2.652	2.879	3.279	2.807	1.672	2.168	2.643	2.885	2.505	3.296	2.692	3.111	2.188	3.266	2.576	2.872	3.905	2.449	3.26	2.73407	1676707.0	2235067.706748
sub-000148/ses-headmotion1	2.75	3.168	2.471	1.832	2.762	2.562	2.59	2.533	2.457	2.255	2.599	2.147	2.274	3.002	3.195	2.398	3.023	2.471	2.575	1.588	2.145	2.724	2.623	2.37	3.2	2.325	2.693	2.16	2.761	2.608	2.71	2.669	2.115	3.015	2.50601	1588009.0	2238163.568085
sub-000148/ses-headmotion2	2.861	3.202	2.609	1.928	2.815	2.73	2.746	2.625	2.563	2.403	2.433	2.229	2.373	2.969	3.364	2.532	2.968	2.244	2.575	1.665	2.219	2.774	2.77	2.497	3.123	2.355	2.783	2.257	2.898	2.665	2.747	2.99	2.207	3.097	2.59052	1576854.0	2231699.671654
sub-000148/ses-standard	2.856	3.135	2.703	1.942	3.312	2.786	2.749	2.906	2.569	2.324	2.655	2.151	2.246	3.24	3.411	2.555	2.969	2.558	2.487	1.669	2.21	2.865	2.918	2.66	3.206	2.308	2.988	2.245	2.973	2.768	2.748	3.502	2.23	3.251	2.66176	1606679.0	2204665.614933
sub-000149/ses-headmotion1	2.208	2.596	2.132	1.969	2.804	2.547	2.506	2.448	2.446	2.273	2.421	1.937	2.194	2.602	2.406	2.323	2.528	2.317	2.282	1.835	2.066	2.392	2.415	2.155	3.06	2.243	2.655	2.042	2.459	2.162	2.577	2.541	2.033	2.905	2.34367	1574404.0	2132391.602882
sub-000149/ses-headmotion2	2.244	2.565	2.201	1.871	2.822	2.584	2.348	2.688	2.323	2.245	2.417	1.838	2.313	2.615	2.657	2.587	2.331	2.6	2.319	1.681	2.087	2.266	2.382	2.233	2.788	2.407	2.596	2.067	2.495	2.226	2.537	2.83	2.055	2.848	2.35963	1571477.0	2181907.289781
sub-000149/ses-standard	2.417	2.578	2.34	1.769	3.441	2.794	2.47	2.806	2.367	2.22	2.61	1.761	2.266	2.966	2.668	2.375	2.687	2.646	2.338	1.463	1.961	2.381	2.52	2.305	3.102	2.296	2.673	1.99	2.782	2.251	2.633	3.465	2.032	3.151	2.43003	1623306.0	2007004.612375
sub-000159/ses-headmotion1	2.76	2.534	2.498	1.846	2.75	2.846	2.43	2.827	2.454	2.339	2.452	1.85	2.441	3.133	2.92	2.699	2.808	2.565	2.62	1.532	2.281	2.669	2.675	2.622	2.777	2.311	2.745	2.237	3.153	2.599	2.196	3.008	2.369	3.058	2.56253	1640371.0	2113677.908163
