rh.aparc.thickness	rh_bankssts_thickness	rh_caudalanteriorcingulate_thickness	rh_caudalmiddlefrontal_thickness	rh_cuneus_thickness	rh_entorhinal_thickness	rh_fusiform_thickness	rh_inferiorparietal_thickness	rh_inferiortemporal_thickness	rh_isthmuscingulate_thickness	rh_lateraloccipital_thickness	rh_lateralorbitofrontal_thickness	rh_lingual_thickness	rh_medialorbitofrontal_thickness	rh_middletemporal_thickness	rh_parahippocampal_thickness	rh_paracentral_thickness	rh_parsopercularis_thickness	rh_parsorbitalis_thickness	rh_parstriangularis_thickness	rh_pericalcarine_thickness	rh_postcentral_thickness	rh_posteriorcingulate_thickness	rh_precentral_thickness	rh_precuneus_thickness	rh_rostralanteriorcingulate_thickness	rh_rostralmiddlefrontal_thickness	rh_superiorfrontal_thickness	rh_superiorparietal_thickness	rh_superiortemporal_thickness	rh_supramarginal_thickness	rh_frontalpole_thickness	rh_temporalpole_thickness	rh_transversetemporal_thickness	rh_insula_thickness	rh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
sub-000103/ses-headmotion1	2.961	2.766	2.719	1.951	3.496	2.899	2.711	2.999	2.694	2.354	2.794	2.048	2.67	3.055	3.198	2.413	2.782	2.761	2.485	1.596	2.084	2.797	2.707	2.493	2.994	2.399	2.706	2.22	3.174	2.867	2.46	4.087	2.441	3.459	2.63536	1654099.0	2241145.223397
sub-000103/ses-headmotion2	2.754	2.479	2.406	1.96	2.721	2.712	2.615	2.831	2.436	2.342	2.712	2.087	2.502	2.871	3.085	2.359	2.525	2.821	2.431	1.611	2.049	2.644	2.686	2.41	2.486	2.456	2.641	2.165	2.902	2.664	2.754	2.99	2.484	3.544	2.54057	1622478.0	2235500.186582
sub-000103/ses-standard	2.845	2.538	2.762	1.924	3.516	2.978	2.754	3.014	2.606	2.43	2.999	2.024	2.709	3.111	3.261	2.58	2.862	2.957	2.638	1.604	2.158	2.659	2.809	2.513	3.159	2.444	2.787	2.25	3.214	2.857	2.773	4.259	2.511	3.553	2.69024	1676707.0	2235067.706748
sub-000148/ses-headmotion1	2.936	3.016	2.347	1.899	2.898	2.709	2.59	2.642	2.556	2.278	2.592	2.075	2.372	2.915	2.701	2.405	2.798	2.582	2.612	1.577	1.93	2.67	2.525	2.24	3.065	2.242	2.784	2.117	2.742	2.809	2.788	3.342	1.983	3.083	2.48413	1588009.0	2238163.568085
sub-000148/ses-headmotion2	2.848	3.013	2.401	1.875	2.788	2.693	2.577	2.668	2.538	2.402	2.547	2.074	2.413	2.906	2.771	2.335	2.936	2.56	2.742	1.662	1.949	2.568	2.411	2.384	3.028	2.313	2.893	2.133	2.809	2.719	2.681	2.797	2.17	3.07	2.50572	1576854.0	2231699.671654
sub-000148/ses-standard	3.099	3.073	2.609	1.961	3.687	2.92	2.691	2.836	2.619	2.45	2.652	2.069	2.404	3.139	3.017	2.577	2.892	2.556	2.778	1.588	1.973	2.71	2.706	2.576	3.163	2.335	2.955	2.243	2.964	2.929	2.687	3.859	2.261	3.339	2.62817	1606679.0	2204665.614933
sub-000149/ses-headmotion1	2.485	2.548	2.354	1.981	2.78	2.396	2.402	2.634	2.46	2.422	2.411	1.988	2.219	2.636	2.471	2.383	2.433	2.405	2.193	1.902	1.959	2.709	2.155	2.338	2.48	2.264	2.635	2.191	2.645	2.181	2.38	2.862	1.896	3.037	2.37045	1574404.0	2132391.602882
sub-000149/ses-headmotion2	2.487	2.652	2.322	2.047	2.749	2.325	2.242	2.314	2.226	2.387	2.5	1.936	2.311	2.553	2.337	2.451	2.467	2.512	2.344	1.784	1.969	2.643	2.321	2.397	2.623	2.289	2.572	2.081	2.654	2.191	1.808	2.736	1.865	2.906	2.34235	1571477.0	2181907.289781
sub-000149/ses-standard	2.766	2.651	2.473	1.747	3.363	2.545	2.327	2.633	2.426	2.28	2.594	1.882	2.34	2.822	2.719	2.359	2.685	2.598	2.308	1.433	1.833	2.608	2.324	2.405	2.702	2.194	2.687	1.934	2.819	2.219	2.468	3.929	1.789	2.976	2.38401	1623306.0	2007004.612375
sub-000159/ses-headmotion1	2.889	2.777	2.558	2.076	2.571	2.731	2.585	2.714	2.788	2.382	2.415	2.029	2.491	3.095	2.401	2.77	3.037	2.719	2.712	1.566	2.271	2.858	2.68	2.511	2.89	2.159	2.482	2.189	3.195	2.709	2.273	3.309	2.93	3.265	2.56683	1640371.0	2113677.908163
sub-000159/ses-headmotion2	2.818	2.827	2.726	2.017	2.534	2.734	2.597	2.71	2.617	2.431	2.638	2.075	2.495	3.071	2.472	2.873	2.911	2.723	2.726	1.529	2.243	2.731	2.642	2.529	2.766	2.316	2.665	2.205	3.067	2.689	2.815	3.054	3.104	3.168	2.58935	1634383.0	2142188.428747
sub-000159/ses-standard	3.014	2.841	2.948	1.935	3.463	2.906	2.72	2.869	2.696	2.51	2.421	1.952	2.496	3.191	2.699	2.967	3.094	2.856	2.709	1.461	2.325	2.96	2.889	2.62	3.008	2.272	2.759	2.319	3.345	2.834	2.892	4.206	3.304	3.227	2.68705	1685231.0	1650125.348157
sub-000175/ses-headmotion1	2.448	2.674	2.131	1.786	3.257	2.627	2.274	2.848	2.494	2.201	2.531	1.967	2.453	2.919	2.606	1.897	2.376	2.519	2.439	1.522	2.036	2.634	1.814	2.089	3.106	2.278	2.439	1.94	2.765	2.376	2.585	3.973	1.884	2.98	2.35075	1427061.0	2028299.885242
sub-000175/ses-headmotion2	2.46	2.594	2.145	1.733	3.215	2.67	2.267	2.831	2.389	2.199	2.514	1.895	2.38	2.877	2.605	1.939	2.445	2.413	2.357	1.567	2.086	2.775	1.83	2.059	2.923	2.209	2.361	1.968	2.799	2.396	2.594	3.393	1.925	2.841	2.33152	1416782.0	2032058.602098
sub-000175/ses-standard	2.511	2.603	2.371	1.75	3.472	2.726	2.399	2.849	2.334	2.236	2.762	1.979	2.448	3.01	2.621	2.024	2.561	2.537	2.573	1.544	2.157	2.626	1.871	2.187	3.021	2.37	2.596	1.958	2.867	2.589	2.442	4.012	2.116	3.089	2.43906	1451092.0	2034717.358587
sub-000179/ses-headmotion1	2.486	2.913	2.58	1.678	2.948	2.435	2.268	2.716	2.441	2.113	2.518	1.775	2.334	2.857	2.977	2.059	2.778	2.489	2.434	1.435	1.839	2.317	2.194	1.984	2.611	2.34	2.798	1.86	2.761	2.393	2.777	3.794	1.812	2.986	2.32427	1464482.0	1905535.319374
sub-000179/ses-headmotion2	2.38	2.951	2.456	1.704	2.723	2.455	2.293	2.609	2.498	2.095	2.486	1.798	2.398	2.797	2.955	2.123	2.828	2.49	2.553	1.504	1.86	2.242	2.421	2.032	2.491	2.348	2.716	1.897	2.715	2.455	2.794	3.188	1.989	2.956	2.3383	1437492.0	2067531.552314
sub-000179/ses-standard	2.479	2.849	2.674	1.637	3.107	2.446	2.255	2.631	2.425	2.07	2.438	1.77	2.259	2.911	3.019	2.32	2.882	2.571	2.514	1.46	1.821	2.309	2.384	2.093	2.614	2.308	2.777	1.871	2.769	2.469	3.1	3.685	2.037	3.173	2.35122	1466881.0	1899164.62456
sub-000183/ses-headmotion1	2.736	2.593	2.448	1.801	3.479	2.796	2.296	2.738	2.555	2.072	2.764	1.989	2.205	3.115	2.639	2.734	2.591	2.866	2.472	1.479	1.925	2.915	2.371	2.184	2.515	2.341	2.861	1.974	3.002	2.434	2.795	3.806	2.583	3.323	2.46933	1492490.0	1964219.487272
sub-000183/ses-headmotion2	2.714	2.668	2.497	2.114	3.105	2.82	2.217	2.619	2.139	2.088	2.516	2.22	2.611	2.766	2.395	2.747	2.851	2.741	2.474	1.773	2.098	2.8	2.452	2.205	2.506	2.426	2.897	2.129	2.871	2.481	2.35	2.731	2.557	3.003	2.49509	1306381.0	1996838.00351
sub-000183/ses-standard	2.975	2.637	2.635	1.813	3.482	2.905	2.405	2.899	2.505	2.076	3.007	2.005	2.467	3.148	2.759	2.852	2.759	3.094	2.521	1.526	1.994	2.805	2.63	2.354	2.644	2.447	2.978	2.021	3.115	2.716	3.032	3.7	2.903	3.455	2.58738	1508105.0	1782013.478096
sub-003617/ses-headmotion1	2.629	2.65	2.592	1.77	3.868	2.862	2.621	2.82	2.482	2.358	2.699	1.965	2.164	3.205	2.7	2.198	2.622	2.674	2.762	1.641	1.805	2.684	2.319	2.289	2.665	2.257	2.398	2.043	2.845	2.531	2.511	3.769	1.993	3.131	2.47819	1513091.0	2065109.170042
sub-003617/ses-headmotion2	2.648	2.606	2.557	1.678	3.485	2.841	2.58	2.787	2.551	2.395	2.701	1.987	2.338	3.155	2.721	2.386	2.7	2.635	2.876	1.652	1.872	2.647	2.498	2.372	2.772	2.31	2.452	2.06	2.794	2.571	2.29	3.735	1.762	3.127	2.5032	1504586.0	2076362.855316
sub-003617/ses-standard	2.819	2.706	2.638	1.645	3.803	2.89	2.644	2.874	2.461	2.373	2.701	1.925	2.299	3.219	2.692	2.326	2.762	2.733	2.783	1.532	1.835	2.724	2.349	2.425	2.789	2.361	2.486	2.021	2.954	2.705	2.749	3.852	1.984	3.19	2.52873	1531672.0	2070864.585864
