rh.aparc.thickness	rh_bankssts_thickness	rh_caudalanteriorcingulate_thickness	rh_caudalmiddlefrontal_thickness	rh_cuneus_thickness	rh_entorhinal_thickness	rh_fusiform_thickness	rh_inferiorparietal_thickness	rh_inferiortemporal_thickness	rh_isthmuscingulate_thickness	rh_lateraloccipital_thickness	rh_lateralorbitofrontal_thickness	rh_lingual_thickness	rh_medialorbitofrontal_thickness	rh_middletemporal_thickness	rh_parahippocampal_thickness	rh_paracentral_thickness	rh_parsopercularis_thickness	rh_parsorbitalis_thickness	rh_parstriangularis_thickness	rh_pericalcarine_thickness	rh_postcentral_thickness	rh_posteriorcingulate_thickness	rh_precentral_thickness	rh_precuneus_thickness	rh_rostralanteriorcingulate_thickness	rh_rostralmiddlefrontal_thickness	rh_superiorfrontal_thickness	rh_superiorparietal_thickness	rh_superiortemporal_thickness	rh_supramarginal_thickness	rh_frontalpole_thickness	rh_temporalpole_thickness	rh_transversetemporal_thickness	rh_insula_thickness	rh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
sub-adult01/ses-001	2.433	2.191	2.168	1.785	3.423	2.482	2.276	2.727	2.283	2.231	2.425	1.822	2.216	2.922	2.234	1.952	2.348	2.426	2.108	1.545	1.905	2.214	2.089	2.122	2.637	2.043	2.365	1.749	2.689	2.126	2.199	3.328	2.07	3.018	2.24638	1552601.0	2066868.794487
sub-adult02/ses-001	2.962	2.532	2.634	1.97	4.076	2.819	2.559	2.95	2.492	2.452	2.705	2.111	2.23	3.285	3.27	2.516	2.68	2.59	2.515	1.616	2.194	2.44	2.609	2.46	2.727	2.385	2.957	2.314	3.003	2.735	3.004	4.067	2.035	3.281	2.61173	1681286.0	1856249.971767
sub-adult03/ses-001	2.528	2.568	2.539	1.985	3.04	2.905	2.396	2.866	2.482	2.468	2.628	2.215	2.219	2.826	2.936	2.325	2.39	3.049	2.492	1.722	2.011	2.551	2.466	2.365	2.48	2.249	2.732	2.196	2.831	2.486	2.131	3.868	2.528	3.305	2.50646	1724589.0	2230454.628444
sub-adult04/ses-001	2.582	2.67	2.398	1.745	4.107	2.735	2.328	2.753	2.475	2.278	2.605	2.122	2.432	3.046	2.629	2.122	2.492	2.862	2.51	1.397	1.725	2.335	2.239	2.207	2.661	2.262	2.593	2.052	2.54	2.384	2.59	3.862	2.328	3.194	2.39428	1530250.0	1866526.587942
sub-adult05/ses-001	2.742	2.56	2.464	1.866	4.009	3.089	2.365	2.836	2.33	2.396	2.552	2.299	2.43	2.965	2.648	2.393	2.584	2.743	2.347	1.437	1.892	2.505	2.568	2.269	2.908	2.29	2.663	2.083	3.032	2.616	2.667	4.316	2.315	3.113	2.5004	1648602.0	2213658.621609
sub-adult06/ses-001	2.74	2.666	2.647	1.992	3.458	2.874	2.445	2.913	2.466	2.47	2.456	2.178	2.312	3.017	3.189	2.539	2.748	2.699	2.557	1.694	2.021	2.502	2.631	2.422	2.442	2.326	2.982	2.212	3.033	2.348	2.972	4.038	2.298	3.285	2.56175	1679295.0	2173894.502328
sub-adult07/ses-001	2.597	2.538	2.179	1.654	3.233	2.559	2.065	2.778	2.571	2.134	2.426	1.868	2.211	2.804	2.283	1.939	2.122	2.766	2.392	1.528	1.794	2.513	2.194	2.311	2.369	2.099	2.551	1.915	2.775	2.282	2.564	3.579	2.439	3.008	2.29016	1629175.0	2031562.713324
sub-adult08/ses-001	2.798	2.599	2.344	1.997	4.132	2.992	2.439	3.03	2.505	2.362	2.592	2.163	2.399	3.002	2.98	2.42	2.594	2.759	2.596	1.615	1.915	2.433	2.557	2.367	2.666	2.264	2.673	2.025	2.911	2.347	2.976	3.622	2.176	3.148	2.49629	1655451.0	2128221.607373
sub-adult09/ses-001	2.731	2.532	2.578	2.075	3.55	2.953	2.743	3.045	2.449	2.338	2.615	2.007	2.15	3.121	2.746	2.524	2.548	2.963	2.54	1.576	2.166	2.292	2.655	2.191	2.602	2.147	2.717	2.026	3.069	2.713	2.696	3.807	2.88	3.249	2.54469	1684849.0	2198241.191083
sub-adult10/ses-001	2.564	2.498	2.516	1.821	3.285	2.78	2.555	2.928	2.562	2.5	2.538	2.114	2.129	3.006	2.658	2.537	2.841	2.658	2.554	1.577	1.969	2.553	2.558	2.376	2.511	2.15	2.559	2.143	2.662	2.601	3.07	4.06	2.213	3.192	2.48941	1562672.0	2089456.530951
sub-adult11/ses-001	2.766	2.306	2.736	2.002	3.865	2.839	2.681	3.085	2.21	2.428	2.78	2.221	2.528	3.114	3.464	2.383	2.699	2.856	2.508	1.605	2.032	2.476	2.609	2.484	2.903	2.401	2.886	2.12	2.85	2.599	2.866	4.058	2.37	3.478	2.59167	1555528.0	2076184.661718
sub-adult12/ses-001	2.553	2.342	2.312	1.865	3.488	2.914	2.252	2.849	2.537	2.202	2.56	2.175	2.213	2.894	2.203	2.341	2.524	2.726	2.435	1.446	1.914	2.3	2.271	2.124	2.504	2.126	2.535	1.94	2.8	2.405	2.42	3.695	2.318	3.187	2.36564	1646894.0	2200228.30123
sub-adult13/ses-001	2.722	2.497	2.739	2.017	3.656	3.045	2.56	3.044	2.498	2.392	2.568	2.34	2.331	3.102	2.847	2.63	2.599	2.703	2.723	1.583	2.002	2.545	2.734	2.543	2.72	2.171	2.944	2.361	3.018	2.559	2.61	4.287	2.508	3.338	2.61975	1777650.0	2281382.814855
sub-adult14/ses-001	2.585	2.158	2.294	1.872	3.558	2.74	2.29	2.857	2.465	2.308	2.693	2.107	2.314	2.938	2.779	2.323	2.485	2.752	2.31	1.573	1.768	2.221	2.49	2.145	2.682	2.292	2.627	1.917	2.773	2.22	2.624	3.459	2.526	3.024	2.40142	1597060.0	2212997.177801
sub-adult15/ses-001	2.707	2.762	2.603	2.084	3.368	2.673	2.594	2.863	2.431	2.51	2.644	2.032	2.532	3.091	2.501	2.504	2.664	2.7	2.357	1.576	2.046	2.315	2.535	2.36	2.766	2.303	2.907	2.115	2.675	2.654	3.245	3.65	2.522	3.398	2.52885	1541383.0	2073949.751957
sub-adult16/ses-001	2.746	2.49	2.63	1.907	4.055	2.888	2.545	3.129	2.594	2.445	2.606	2.304	2.256	3.177	2.911	2.809	2.673	2.486	2.747	1.748	2.148	2.441	2.843	2.381	2.617	2.261	2.928	2.131	3.117	2.57	3.271	3.487	2.593	3.083	2.5819	1602055.0	2147674.591018
